Colony.ID,Date,Northing,Easting,DIST,PIC,DFPIC,TEMP,IRR,SIZE,DIS
11,3-Jul,2029636.2,322558.62,5.376430042,0,24.3907462,28.33801075,6.1765,5525,0
12,3-Jul,2029643.89,322565.03,8.522088946,0,31.00956143,28.33801075,6.1765,9240,0
13,3-Jul,2029645.07,322556.59,7.359415738,0,33.47202563,28.33801075,6.1765,7875,0
14,3-Jul,2029651.74,322553.48,6.72393486,0,40.75665467,28.33801075,6.1765,50625,0
15,3-Jul,2029658.37,322554.6,6.72393486,0,46.83877027,28.33801075,6.1765,3726,0
16,3-Jul,2029652.98,322538.69,14.84189004,0,48.39586966,28.33801075,6.1765,42560,0
17,3-Jul,2029666.18,322548.33,2.210090496,0,42.65282757,28.33801075,6.1765,18900,0
18,3-Jul,2029668.39,322548.35,2.210090496,0,40.71630632,28.33801075,6.1765,19200,0
19,3-Jul,2029689.46,322544.31,9.23231282,0,21.40652471,28.33801075,6.1765,91160,0
20,3-Jul,2029695.06,322536.97,6.126744649,1,12.24619533,28.33801075,6.1765,1920,0
21,3-Jul,2029699.53,322532.78,6.11945259,0,6.11945259,28.33801075,6.1765,2,0
22,3-Jul,2029703.99,322528.59,5.540225627,1,98.40627063,28.33801075,6.1765,110250,0
23,3-Jul,2029706.16,322533.9,5.736287998,0,5.736287998,28.33801075,6.1765,31200,0
24,3-Jul,2029709.53,322528.64,5.540225627,0,5.540225627,28.33801075,6.1765,34848,0
25,3-Jul,2029722.89,322520.31,5.927562737,0,20.63415615,28.33801075,6.1765,8424,0
26A,3-Jul,2029717.37,322518.15,1.00E-10,0,16.97109307,28.33801075,6.1765,208,0
26B,3-Jul,2029717.38,322517.09,1.060047169,0,17.65055523,28.33801075,6.1765,2100,0
26C,3-Jul,2029717.37,322518.15,1.00E-10,0,16.97109307,28.33801075,6.1765,160,0
27,3-Jul,2029730.61,322523.55,3.938591119,1,27.0929142,28.33801075,6.1765,26730,0
28,3-Jul,2029733.91,322525.7,3.938591119,0,30.05924982,28.33801075,6.1765,10200,0
29,3-Jul,2029737.35,322511.99,6.340283905,0,37.26190548,28.33801075,6.1765,14256,0
030A,3-Jul,2029735.06,322520.42,3.056304959,0,32.12621671,28.33801075,6.1765,2548,0
030B,3-Jul,2029739.51,322518.35,2.220090088,0,36.9665795,28.33801075,6.1765,1859,0
030C,3-Jul,2029737.29,322518.33,2.220090088,0,34.84476431,28.33801075,6.1765,3750,0
31,3-Jul,2029755.02,322516.38,11.27079855,1,52.47042024,28.33801075,6.1765,88,0
32,3-Jul,2029766.07,322518.6,11.27079855,0,62.8786649,28.33801075,6.1765,297500,0
33,3-Jul,2029783.84,322512.42,9.179128499,0,81.4708009,28.33801075,6.1765,35000,0
34,3-Jul,2029793.69,322524.14,6.244621686,0,89.810314,28.33801075,6.1765,756000,0
35,3-Jul,2029790.42,322518.82,6.244621686,0,86.98044493,28.33801075,6.1765,36480,0
36,3-Jul,2029833.76,322500.2,6.958002587,0,132.8391697,28.33801075,6.1765,13605,0
37,3-Jul,2029828.19,322504.37,6.958002587,1,126.5395132,28.33801075,6.1765,117000,0
38,3-Jul,2029862.56,322498.35,23.0239636,0,152.2227253,28.33801075,6.1765,82500,0
39,3-Jul,2029848.33,322480.25,23.0239636,0,152.2195493,28.33801075,6.1765,1949900,0
40,3-Jul,2029893.66,322485.95,33.48089007,0,118.8095118,28.33801075,6.1765,1638,0
41,3-Jul,2029946.87,322477.99,3.320135539,0,66.23474164,28.33801075,6.1765,48,0
42,3-Jul,2029950.19,322478.02,3.320135539,0,63.25460062,28.33801075,6.1765,572,0
43,3-Jul,2029979.02,322471.94,1.060047169,1,35.47757038,28.33801075,6.1765,27000,0
44,3-Jul,2029963.49,322476.03,13.4480519,1,50.61609428,28.33801075,6.1765,864,0
45,3-Jul,2029991.26,322465.71,1.050047618,0,22.16785285,28.33801075,6.1765,26460,0
46,3-Jul,2029979.01,322473,1.060047169,1,36.1504094,28.33801075,6.1765,31500,0
